설치장소,주소,급속충전기(대),지원차종
한강현대 아파트,서울특별시 강동구 암사동 올림픽로104길 41,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
현대백화점 천호점,서울특별시 강동구 천호대로 1005,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
홈플러스 강동점,서울특별시 강동구 양재대로 1571,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
힐스테이트 강동리버뷰,서울특별시 강동구 암사동 675,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
LH선수촌8단지아파트,강원도 강릉시 유천동 778,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
감자연구소,강원도 강릉시 사천면 노동리 466-1,1,"SM3 Z.E,테슬라"
강남동주민센터,강원도 강릉시 노암동 133,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강릉 교동2차현대아파트,강원도 강릉시 교동 1767,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강릉금호어울림,강원도 강릉시 입암동 321,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강릉농협 하나로마트,강원도 강릉시 성남동 26-1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강릉더샵 아파트,강원도 강릉시 입암동 711,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강릉축협 하나로마트,강원도 강릉시 입암동 448,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강릉특별지사,강원도 강릉시 포남동 1255,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강릉회산LH천년나무2단지,강원도 강릉시 회산동 604,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
강원도교육연수원,강원도 강릉시 초당동 57-18,1,"SM3 Z.E,테슬라"
강원도립대학,강원도 강릉시 주문진읍 교항리 8-2,1,"SM3 Z.E,테슬라"
강원도환동해본부,강원도 강릉시 주문진읍 교항리 118-1,1,"SM3 Z.E,테슬라"
강원양돈농협 하나로마트,강원도 강릉시 교동 1888-3,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
경포해수욕장,강원도 강릉시 안현동 868-2,1,"SM3 Z.E,테슬라"
교1동주민센터,강원도 강릉시 교동 1874-3,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
교2동주민센터,강원도 강릉시 교동 723-5,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
교동e-편한세상 아파트,강원도 강릉시 교동 357,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
그린내하우스,강원도 강릉시 입암동 97-13,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
기산그린타운연립,강원도 강릉시 내곡동 267,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
녹색도시체험센터,강원도 강릉시 운정동 484,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
보헤미안박이추 커피공장,강원도 강릉시 사천면 사천진리 285-11,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
삼우골든아파트,강원도 강릉시 포남동 898-17,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라"
