충전소ID,충전소명,충전소주소,상세주소,위도,경도,이용가능시간,연락처
2696,금빛마을현대아파트,경상남도 진주시 집현면 진산로 675,103동 지하주차장,35.238201,128.090897,24시간,1899-2100
2697,별내신안인스빌아파트,경기도 남양주시 별내동 순화궁로 18,지하2층 4106동,37.64826591,127.1136449,24시간,1899-2100
2455,용인자연휴양림,경기도 용인시 처인구 모현읍 초부리 산 22,숲속체험관 앞 지상주차장,37.31305716,127.2708886,24시간,1899-2100
2475,산청실내체육관주차장,경상남도 산청군 금서면 매촌리 1,체육관건물 오른쪽 지상주차장,35.421968,127.872601,24시간,1899-2100
2685,둔촌푸르지오아파트,서울특별시 강동구 둔촌동 명일로 172,지하1층 101동 C61 기둥,37.533875,127.147529,미개방,1899-2100
2484,합천영상테마파크,경상남도 합천군 용주면 가호리 256-5,푸드직매장 지상주차장(주소: 용주면 가호리 418),35.547921,128.072368,24시간,1899-2100
2460,신갈동주민센터,경기도 용인시 기흥구 신갈로58번길 11,B2F 19,37.27264,127.106995,09:00-18:00,1899-2100
2790,호평6단지 휴먼시아,경기도 남양주시 호평동 712,"지하1층 604,605동 방향 전기실",37.65890243,127.2401375,24시간,1899-2100
2792,송산주공6단지,경기도 의정부시 민락동 효자로 26,"601동 주차장 , 출입구 쪽",37.74369375,127.088285,24시간,1899-2100
2793,장암주공5단지,경기도 의정부시 신곡동 회룡로 221,511동 지하주차장 P4구역,37.7268679,127.0582096,24시간,1899-2100
2795,만현마을 롯데캐슬아파트,경기도 용인시 수지구 상현동 만현로 25,B1F 아6,37.311645,127.089743,24시간,1899-2100
2800,수완진아리채2차아파트,광주광역시 광산구 수완동 장덕로137번길 17,(실내지하) 지하 주차장(B26),35.197571,126.823461,24시간,1899-2100
2802,도램마을16단지,세종특별자치시 도담동 639,지하주차장,36.513821,127.265621,24시간,1899-2100
2803,대자연마을아파트,대전광역시 서구 관저동 990,입구 우측지하주차장,36.306094,127.337764,24시간,1899-2100
2806,새뜸마을3단지,세종특별자치시 새롬동 329,지하주차장,36.486162,127.246683,24시간,1899-2100
2814,블루마시티1차 푸르지오,울산광역시 북구 산하동 산 48-8,104동 지하주차장,35.63804536,129.4358396,24시간,1899-2100
2815,죽동푸르지오아파트,대전광역시 유성구 죽동 730,지하주차장,36.373514,127.338573,24시간,1899-2100
2817,경동태원하이빌,울산광역시 울주군 범서읍 천상리 324-2,113동 지하 29번,35.56111829,129.2269098,24시간,1899-2100
2821,신정숲속마을아파트,서울특별시 양천구 신정동 1324,지하1층 우측 중간,37.50612432,126.8339302,06~23시,1899-2100
2822,신대부적2차부영아파트,경상북도 경산시 압량면 압독2로 59,201동 지하주차장,35.840733,128.769544,24시간,1899-2100
2824,판교원한림풀에버,경기도 성남시 분당구 판교동 서판교로 29,지하 2층 주차장,37.3894,127.096083,24시간,1899-2100
2680,LH이노팰리스아파트,전라북도 전주시 덕진구 장동 1082,105동 쪽 지하 주차장(구역 Y 44),35.846109,127.060329,24시간,1899-2100
3469,한국교육개발원,충청북도 진천군 덕산면 교학로 7,지하1층주차장,36.898485,127.536805,평일 09-18,1899-2100
2499,서면사무소,전라남도 순천시 서면 임촌동길 94,주차장 입구 우측,34.994283,127.488485,24시간,1899-2100
2825,조원주공뉴타운1단지,경기도 수원시 장안구 조원동 금당로39번길 33,105동 지하1층주차장 입구 우측,37.30495,127.016355,24시간,1899-2100
894,장유쌍용예가1차 아파트,경상남도 김해시 신문동 530-2,지상주차장(107동 108동 사이),35.19431537,128.8154749,24시간,1899-2100
901,성원2차,경상남도 창원시 성산구 남양동 대정로 99,"207동,209동 사이 주차장",35.212346,128.703221,24시간,1899-2100
1143,LH자은프라임,경상남도 창원시 진해구 자은동 냉천로 257,405동 지하주차장,35.151914,128.719555,24시간,1899-2100
193,안좌변전소,전라남도 신안군 안좌면 대척리 662,안좌변전소,34.742252,126.130275,개방불가,1899-2100
1147,동원우성 빌라트,경상남도 거제시 옥포동 옥포대첩로 88,지하2층 주차장,34.894328,128.697476,24시간,1899-2100
1148,미진참사랑,경상남도 거제시 아주동 탑곡로2길 17,관리사무소 앞 지하주차장,34.864338,128.693988,24시간,1899-2100
303,가평지사,경기도 가평군 가평읍 가화로 169-11,1층주차장(정면),37.833892,127.510497,24시간,1899-2100
309,보령지사,충청남도 보령시 옥마로 60,사옥 정문을 보고 좌측 건너편 맨 우측 충전기,36.337558,126.622671,주중/주말 : 24시간,1899-2100
356,나주시청,전라남도 나주시 송월동 100,본관 좌측 전기차 전용 주차장,35.015306,126.710955,주중/주말 : 24시간,1899-2100
415,유리의성,제주특별자치도 제주시 한경면 녹차분재로 462,주차장 들어가기전 오른쪽,33.31507,126.273427,주중/주말 : 24시간,1899-2100
425,가시리 조랑말체험공원,제주특별자치도 서귀포시 녹산로 381-15,도로건너 주차장 오른쪽,33.376661,126.744774,주중/주말 : 24시간,1899-2100
444,대전대덕구청 주차장,대전광역시 대덕구 대전로 1033번길 20,지상주차장 우측(관리실 후방),36.346201,127.415896,주중/주말 : 24시간,1899-2100
1150,옥명대우,경상남도 거제시 능포동 능포로2길 38,101동 12라인옆 주차장,34.87494,128.732381,24시간,1899-2100
1152,건입현대 아파트,제주특별자치도 제주시 건입동 만덕로3길 26,주차장,33.51673381,126.5352159,24시간,1899-2100
2589,음성체육관,충청북도 음성군 음성읍 읍내리 420-1,지상주차장 좌측,36.930412,127.685527,24시간,1899-2100
1154,노형 대림 아파트,제주특별자치도 제주시 노형동 다랑곶4길 9,구내주차장,33.48773982,126.4801463,24시간,1899-2100
1158,노형해든빌,제주특별자치도 제주시 노형동 원노형2길 38,구내주차장,33.48292023,126.4815135,24시간,1899-2100
1159,도남1차e-편한세상,제주특별자치도 제주시 도남동 오남로 7-13,주차장,33.49579182,126.5219928,24시간,1899-2100
2490,부주동 행정복지센터,전라남도 목포시 옥암동 1249,(실외완전노출)지상주차장,34.810568,126.44768,24시간,1899-2100
2500,순천만습지 주차장,전라남도 순천시 대대동 161-4,주차장 입구 좌측,34.886197,127.507816,06~23시,1899-2100
2503,전라남도 보건환경연구원,전라남도 순천시 해룡면 호두리 1181-3,주차장 입구 우측 끝부근,34.891144,127.585493,24시간,1899-2100
2515,경주화백컨벤션센터,경상북도 경주시 신평동 182,지상주차장,35.83863,129.28921,24시간,1899-2100
2524,2생활권 환승주차장1(A),세종특별자치시 나성동 778,지하주차장,36.481306,127.262415,24시간,1899-2100
443,대전동구청 주차장,대전광역시 동구 동구청로 147,지상주차장 우측,36.311223,127.454838,24시간,1899-2100
2530,구항면사무소 부설주차장,충청남도 홍성군 구항면 오봉리 735-1,구항면사무소 주차장 입구,36.587381,126.610586,24시간,1899-2100
2533,부산문화회관,부산광역시 남구 대연동 848-4,주차장,35.12757897,129.0929746,09시~24시,1899-2100
2541,마포중앙도서관,서울특별시 마포구 성산로 128,주차장 지상1층,37.563622,126.908232,24시간,1899-2100
2542,용산전자상가1 공영주차장,서울특별시 용산구 한강로3가 12,지상주차장 오른쪽 끝,37.531767,126.965127,24시간,1899-2100
2545,홈플러스 계산점,인천광역시 계양구 계산동 1061,지하주차장 B1 기둥번호 60번,37.539149,126.736095,영업일10시~24시,1899-2100
2555,용유동사무소,인천광역시 중구 남북동 928-6,용유동사무소 뒷편 테니스장과 건물 사,37.443996,126.402333,24시간,1899-2100
2557,봉동읍사무소,전라북도 완주군 봉동읍 삼봉로 933,건물 뒤편 주차장,35.941694,127.165772,24시간,1899-2100
2559,완주군청,전라북도 완주군 용진읍 지암로 61,건물 뒤편 주차장 군청 후문 출입구 옆,35.905003,127.162328,24시간,1899-2100
2569,전주자연생태관,"전라북도 전주시 완산구 바람쐬는길 21 (교동, 전주자연생태박물관)",자연 생태관 주차장,35.811331,127.162974,06~23시,1899-2100
2570,단양보건소,충청북도 단양군 단양읍 상진리 84,입구 우측 지상주차장,36.981588,128.350968,24시간,1899-2100
2577,이원면사무소,충청북도 옥천군 이원면 강청리 47-1,정문 진입후 좌측 지상주차장 내,36.246048,127.619422,24시간,1899-2100
2578,군북면사무소,충청북도 옥천군 군북면 이백길 8,정문 진입후 지상주차장 내,36.330058,127.534693,24시간,1899-2100
2584,광혜원면사무소,충청북도 진천군 광혜원면 광혜원리 542-10,지상주차장,36.992765,127.435712,24시간,1899-2100
2585,충주종합스포츠타운,충청북도 충주시 호암동 627-1,야외주차장,36.95803,127.914111,24시간,1899-2100
2593,군서면사무소,충청북도 옥천군 군서면 동평1길 9-15,정문 진입 후 좌측 지상주차장 내,36.279622,127.527063,24시간,1899-2100
2624,남서울힐스테이트아파트,서울특별시 금천구 시흥동 시흥대로 165,201동 지하1층 우회전 끝,37.446617,126.90216,24시간,1899-2100
2476,자하곡매표소 주차장,경상남도 창녕군 창녕읍 말흘리 35,화장실앞 지상주차장,35.540175,128.507549,24시간,1899-2100
2106,평창영월정선 축협,강원도 평창군 대관령면 횡계리 374-18,대관령한우타운 지상주차장,37.675396,128.700232,24시간,1899-2100
2522,한밭종합운동장 주차장,대전광역시 중구 부사동 209-1,주경기장 직3문 부산119안전센터 앞,36.315632,127.432601,24시간,1899-2100
2630,동일하이빌2차아파트,경기도 용인시 기흥구 언남동 언남로 15,P2주차장 B1F 녹색4,37.293726,127.126132,24시간,1899-2100
2631,경남아너스빌2차,경기도 용인시 수지구 성복동 성복1로163번길 11,B1F,37.3153,127.060104,24시간,1899-2100
2642,자연앤꿈에그린6단지,경기도 파주시 문산읍 당동1로 11,지하2층 주차장 B13,37.86054572,126.7764691,24시간,1899-2100
2644,영종한양수자인아파트,인천광역시 중구 중산동 1878-1,지하,37.491276,126.553052,24시간,1899-2100
2647,한아름아파트,대전광역시 서구 월평동 222,지하주차장,36.363867,127.374875,24시간,1899-2100
2648,옥정센트럴파크 푸르지오아파트,경기도 양주시 옥정동 955,"지하주차장916동B28,913동B14",37.82587839,127.0873924,24시간,1899-2100
2649,대원효성,경기도 파주시 다율동 청석로 300,지하1층 주차장 (916동),37.73002794,126.7186728,24시간,1899-2100
1217,오페라하우스,제주특별자치도 서귀포시 서홍동 서홍로178번길 45,구내주차장,33.26060345,126.5545596,24시간,1899-2100
258,제주의료원,제주특별자치도 제주시 아라1동 4-17,입구 주차장(기종 충전기 주변),33.445522,126.560081,주중/주말 : 24시간,1899-2100
406,도두동 주민센터,제주특별자치도 제주시 도두1길 9-1,주민센터 맞은편,33.50311,126.468194,주중/주말 : 24시간,1899-2100
2497,낙안읍성 주차장,전라남도 순천시 낙안면 평촌리 10-2,주차장 내 공중화장실 옆,34.903548,127.344079,24시간,1899-2100
1219,현대성우2단지,경기도 양평군 강상면 병산리 1206,204동 지하1층 주차장,37.490099,127.47423,24시간,1899-2100
1220,현대성우3단지,경기도 양평군 강상면 병산리 1207,304동 지하1층 주차장,37.488231,127.473736,24시간,1899-2100
1221,모아미래도 아파트,경기도 남양주시 별내동 불암로 336,2305동 지하1층 72구역 주차면,37.66166993,127.1267985,24시간,1899-2100
1222,별사랑마을2-2단지,경기도 남양주시 별내동 순화궁로 382,지하1층 2번 기둥 옆,37.66051166,127.124743,24시간,1899-2100
1223,신일유토빌 아파트,경기도 남양주시 별내동 별내4로 63,3408동 지하2층 c28면 주차면,37.6485486,127.1157258,24시간,1899-2100
1226,양주성우헤스티아,경기도 양주시 광적면 가래비11길 30,107동 7-8호 사이 지하주차장 1,37.82568055,126.9817356,24시간,1899-2100
1234,산들5단지동문 아파트,경기도 고양시 일산서구 일산동 일중로 30,오른쪽 제2주차장,37.6825564,126.7752494,24시간,1899-2100
1235,서정마을6단지 아파트,경기도 고양시 덕양구 행신동 서정로 19,지하주차장 1층 우/좌측,37.61714692,126.8515888,24시간,1899-2100
1237,성저마을4단지삼익 아파트,경기도 고양시 일산서구 대화동 대산로 263,제1주차장,37.67989196,126.7496286,24시간,1899-2100
120,용산역 아이파크몰,서울특별시 한강대로 23길 55,4.5F층 달주차장,37.530561,126.965169,주중/주말 : 24시간,1899-2100
211,도봉구민회관,"서울특별시 도봉구 도봉로 552 (창동, 도봉구민회관)",구민회관 지상주차장,37.653778,127.038292,주중/주말 : 24시간,1899-2100
226,현대백화점 천호점,서울특별시 강동구 천호대로 1005,지하5층 주자장 출구방향 오른쪽 ,37.539426,127.124332,주중/주말 : 24시간,1899-2100
290,자양2동유수지 공영주차장,서울특별시 광진구 뚝섬로 52길 74,공영주차장 후면,37.52962,127.076967,주중/주말 : 24시간,1899-2100
370,민락동 매립지 공영주차장,부산광역시 수영구 민락동113-46,주차장 진입 직후 우측 주차면,35.155087,129.127298,24시간,1899-2100
376,사상구청 부설주차장,부산광역시 사상구 감전동 138-8,주차장 진입후 사상구 보건소 앞쪽 주차면,35.15258,128.991534,24시간,1899-2100
390,가납공영주차장,경기도 양주시 광적면 삼일로 20,1층주차장(정문에서 우측),37.820975,126.987485,주중/주말 : 24시간,1899-2100
1784,삼아 아파트,제주특별자치도 서귀포시 동홍동 태평로 536,삼아아파트 뒷쪽 주차장,33.25182276,126.5744651,24시간,1899-2100
2698,별내 동익미라벨38단지아파트,경기도 남양주시 별내동 별내중앙로 83,지하2층 3804동 D12구역,37.64988483,127.1201563,24시간,1899-2100
2699,인천에스케이스카이뷰,인천광역시 미추홀구 용현동 664,지하2층 110-112동 C02-03,37.449776,126.645018,미개방,1899-2100
2700,오천호반베르디움아파트,전라남도 순천시 오천동 오천8길 15,지하주차장 B1 29,34.938004,127.492937,24시간,1899-2100
