노선번호,도로명,이정,X좌표값,Y좌표값,GRS80X좌표값,GRS80Y좌표값
303,청주상주선,71.4,36.36782901,128.1472317,302958.217,419471.1028
303,청주상주선,71.5,36.36799089,128.1483275,303056.3547,419490.236
303,청주상주선,71.6,36.36819494,128.1494125,303153.4633,419514.0375
303,청주상주선,71.7,36.36844179,128.1504839,303249.293,419542.5752
303,청주상주선,71.8,36.36873279,128.1515383,303343.5354,419575.9964
303,청주상주선,71.9,36.36906615,128.1525733,303435.9858,419614.0972
303,청주상주선,72,36.36944106,128.1535864,303526.4084,419656.7875
303,청주상주선,72.1,36.36985623,128.1545752,303614.5979,419703.9198
303,청주상주선,72.2,36.37031142,128.1555366,303700.2812,419755.4654
303,청주상주선,72.3,36.37079823,128.1564742,303783.7771,419810.4949
303,청주상주선,72.4,36.37130296,128.1573972,303865.9448,419867.4977
303,청주상주선,72.5,36.37180837,128.1583197,303948.0609,419924.5767
303,청주상주선,72.6,36.37229603,128.1592566,304031.493,419979.7022
303,청주상주선,72.7,36.37274485,128.1602226,304117.5823,420030.5507
303,청주상주선,72.8,36.37313356,128.1612275,304207.2438,420074.7706
303,청주상주선,72.9,36.37345353,128.1622688,304300.2665,420111.4015
303,청주상주선,73,36.37370137,128.1633397,304396.0442,420140.0623
303,청주상주선,73.1,36.37387699,128.1644323,304493.859,420160.7332
303,청주상주선,73.2,36.37398102,128.1655388,304593.0223,420173.4749
303,청주상주선,73.3,36.37403107,128.1666513,304692.7891,420180.2338
303,청주상주선,73.4,36.37405131,128.1677653,304792.7328,420183.688
303,청주상주선,73.5,36.37406407,128.1688795,304892.7047,420186.3139
303,청주상주선,73.6,36.37407683,128.1699936,304992.6761,420188.9398
303,청주상주선,73.7,36.37408957,128.1711078,305092.6479,420191.5657
303,청주상주선,73.8,36.37410231,128.172222,305192.6195,420194.1917
303,청주상주선,73.9,36.37411503,128.1733362,305292.5911,420196.8175
303,청주상주선,74,36.37412774,128.1744504,305392.5629,420199.4435
303,청주상주선,74.1,36.37414045,128.1755646,305492.5346,420202.0694
303,청주상주선,74.2,36.37415313,128.1766788,305592.5066,420204.6943
303,청주상주선,74.3,36.37416577,128.177793,305692.4785,420207.3158
303,청주상주선,74.4,36.3741784,128.1789071,305792.4506,420209.9371
303,청주상주선,74.5,36.37419102,128.1800213,305892.4227,420212.5585
303,청주상주선,74.6,36.37420363,128.1811355,305992.3949,420215.1797
303,청주상주선,74.7,36.37421623,128.1822497,306092.367,420217.8011
303,청주상주선,74.8,36.37422225,128.183364,306192.3519,420219.6938
303,청주상주선,74.9,36.37420217,128.1844779,306292.3468,420218.691
303,청주상주선,75,36.37415061,128.1855903,306392.2457,420214.1937
303,청주상주선,75.1,36.3740698,128.1867,306491.944,420206.4487
303,청주상주선,75.2,36.37395912,128.1878058,306591.329,420195.3853
303,청주상주선,75.3,36.37381868,128.1889064,306690.2902,420181.0159
303,청주상주선,75.4,36.37364865,128.1900006,306788.7172,420163.3563
303,청주상주선,75.5,36.37344922,128.1910871,306886.5012,420142.4263
303,청주상주선,75.6,36.3732206,128.1921649,306983.5334,420118.2489
303,청주상주선,75.7,36.37296305,128.1932326,307079.706,420090.8511
303,청주상주선,75.8,36.37267729,128.1942893,307174.9283,420060.3107
303,청주상주선,75.9,36.37236277,128.1953334,307269.0636,420026.5665
303,청주상주선,76,36.37202357,128.1963657,307362.1717,419990.0718
303,청주상주선,76.1,36.37167984,128.1973957,307455.0826,419953.0718
303,청주상주선,76.2,36.37133609,128.1984257,307547.9933,419916.0718
303,청주상주선,76.3,36.37099586,128.1994575,307641.0579,419879.4642
303,청주상주선,76.4,36.37068052,128.2005012,307735.1641,419845.6331
303,청주상주선,76.5,36.37039376,128.2015575,307830.3553,419814.989
303,청주상주선,76.6,36.37013562,128.202625,307926.5138,419787.5346
303,청주상주선,76.7,36.36990573,128.2037023,308023.5158,419763.2274
303,청주상주선,76.8,36.3697054,128.2047886,308121.2845,419742.211
303,청주상주선,76.9,36.36953489,128.2058826,308219.7071,419724.5142
303,청주상주선,77,36.36939242,128.2069828,308318.6409,419709.9364
303,청주상주선,77.1,36.36926032,128.208085,308417.7436,419696.5142
303,청주상주선,77.2,36.36912822,128.2091872,308516.8465,419683.0921
303,청주상주선,77.3,36.36899611,128.2102894,308615.9497,419669.6699
303,청주상주선,77.4,36.368864,128.2113916,308715.0524,419656.249
303,청주상주선,77.5,36.36873192,128.2124938,308814.1562,419642.8323
303,청주상주선,77.6,36.36859983,128.213596,308913.2599,419629.4156
303,청주상주선,77.7,36.36846772,128.2146981,309012.3637,419615.999
303,청주상주선,77.8,36.36833561,128.2158003,309111.4675,419602.5821
303,청주상주선,77.9,36.36820349,128.2169025,309210.5714,419589.1654
303,청주상주선,78,36.36807135,128.2180047,309309.6753,419575.7488
303,청주상주선,78.1,36.36793921,128.2191069,309408.7793,419562.3321
303,청주상주선,78.2,36.36780706,128.220209,309507.8832,419548.9153
303,청주상주선,78.3,36.36767489,128.2213112,309606.9872,419535.4985
303,청주상주선,78.4,36.36754272,128.2224134,309706.0913,419522.0818
303,청주상주선,78.5,36.36741053,128.2235155,309805.1954,419508.6649
303,청주상주선,78.6,36.36727834,128.2246177,309904.2997,419495.2482
303,청주상주선,78.7,36.36714613,128.2257198,310003.4039,419481.8313
303,청주상주선,78.8,36.36701392,128.226822,310102.5081,419468.4145
303,청주상주선,78.9,36.36688169,128.2279241,310201.6123,419454.9977
303,청주상주선,79,36.36674946,128.2290263,310300.7168,419441.581
303,청주상주선,79.1,36.36661722,128.2301284,310399.8211,419428.1643
303,청주상주선,79.2,36.36648496,128.2312305,310498.9255,419414.7477
303,청주상주선,79.3,36.36636701,128.2323351,310598.2271,419402.9222
303,청주상주선,79.4,36.36627843,128.2334438,310697.8627,419394.3617
303,청주상주선,79.5,36.36625878,128.2345656,310798.5752,419393.4667
303,청주상주선,79.6,36.36626841,128.2356797,310898.5477,419395.814
303,청주상주선,79.7,36.36627803,128.2367937,310998.5201,419398.1612
303,청주상주선,79.8,36.36628764,128.2379078,311098.4926,419400.5084
303,청주상주선,79.9,36.36629725,128.2390218,311198.465,419402.8556
303,청주상주선,80,36.36640489,128.2401274,311297.5405,419416.0743
303,청주상주선,80.1,36.36652409,128.2412317,311396.4835,419430.5755
303,청주상주선,80.2,36.36666412,128.2423314,311494.9849,419447.3835
303,청주상주선,80.3,36.36686071,128.2434187,311592.2875,419470.4547
303,청주상주선,80.4,36.36705725,128.244506,311689.5901,419493.5225
303,청주상주선,80.5,36.36729722,128.245579,311785.5558,419521.3944
303,청주상주선,80.6,36.36756119,128.2466443,311880.7824,419551.9213
303,청주상주선,80.7,36.36784809,128.2477001,311975.1336,419584.9828
303,청주상주선,80.8,36.36817222,128.2487396,312067.9618,419622.1581
303,청주상주선,80.9,36.3685241,128.2497652,312159.5036,419662.397
303,청주상주선,81,36.36890332,128.2507758,312249.658,419705.6552
303,청주상주선,81.1,36.36930949,128.2517703,312338.3254,419751.8848
303,청주상주선,81.2,36.36974214,128.2527475,312425.4078,419801.0348
303,청주상주선,81.3,36.37020082,128.2537064,312510.8092,419853.0527
303,청주상주선,81.4,36.37067925,128.2546505,312594.8496,419907.2463
303,청주상주선,81.5,36.37115905,128.2555936,312678.7942,419961.5905
303,청주상주선,81.6,36.37163884,128.2565367,312762.7388,420015.9348
303,청주상주선,81.7,36.37211861,128.2574798,312846.6834,420070.2791
303,청주상주선,81.8,36.3725981,128.2584231,312930.6484,420124.5919
303,청주상주선,81.9,36.37306693,128.2593745,313015.3558,420177.733
303,청주상주선,82,36.3735022,128.2603499,313102.2613,420227.1779
303,청주상주선,82.1,36.37389059,128.2613551,313191.9079,420271.4561
303,청주상주선,82.2,36.37423022,128.262387,313284.016,420310.3559
303,청주상주선,82.3,36.37451992,128.2634418,313378.263,420343.7429
303,청주상주선,82.4,36.37475863,128.2645161,313474.3192,420371.4951
303,청주상주선,82.5,36.37494556,128.2656059,313571.8485,420393.5206
303,청주상주선,82.6,36.37508004,128.2667075,313670.5095,420409.7405
303,청주상주선,82.7,36.37510282,128.2685452,313835.3966,420414.4331
303,청주상주선,82.8,36.37508448,128.2696588,313935.3652,420413.7106
303,청주상주선,82.9,36.37495559,128.2707608,314034.4414,420400.7074
303,청주상주선,83,36.37470146,128.2718289,314130.6679,420373.7669
