sidoName,stationName,mangName,so2Value,coValue,o3Value,no2Value,pm10Value,pm25Value,khaiValue
충북,용담동,도시대기,0.002,0.4,0.007,0.03,40,26,61
충북,용암동,도시대기,0.002,0.9,0.002,0.036,43,27,74
충북,복대동,도로변대기,0.004,0.7,0.001,0.039,62,39,100
충북,호암동,도시대기,0.003,0.9,0.002,0.024,42,33,77
충북,칠금동,도시대기,0.004,0.8,0.002,0.026,39,33,85
충북,중앙탑면,도시대기,0.002,0.6,0.007,,34,20,
충북,살미면,도시대기,,0.6,0.006,0.028,27,15,47
충북,장락동,도시대기,0.005,2.2,0.003,0.027,74,52,100
충북,영천동,도시대기,0.005,1.4,0.003,0.028,69,41,85
충북,청풍면,도시대기,0.002,1.7,0.005,0.028,41,27,
충북,오창읍,도시대기,0.002,0.3,0.011,0.025,27,19,85
충북,산남동,도시대기,0.002,0.4,0.006,0.031,31,16,92
충북,오송읍,도시대기,0.002,0.5,0.003,0.024,62,44,109
충북,가덕면,도시대기,0.002,0.3,0.027,0.009,26,22,87
충북,매포읍,도시대기,0.002,0.9,0.002,0.042,34,28,70
충북,단성면,도시대기,0.004,1,0.005,0.019,18,16,51
충북,단양읍,도시대기,0.002,0.5,0.008,0.018,21,10,37
충북,청천면,교외대기,,,,,38,,
충북,괴산읍,도시대기,0.004,0.7,0.002,0.016,35,33,112
충북,감물면,도시대기,0.004,0.4,0.003,0.015,36,27,85
충북,진천읍,도시대기,0.003,0.8,0.002,0.028,55,45,105
충북,덕산읍,도시대기,0.003,0.5,0.004,0.03,68,51,112
충북,금왕,교외대기,0.001,0.6,0.003,0.022,48,32,64
충북,음성읍,도시대기,0.002,0.5,0.003,0.025,33,25,101
충북,소이면,도시대기,0.002,0.6,0.005,0.014,45,36,116
충북,영동읍,도시대기,0.002,0.4,0.004,0.017,24,15,64
충북,도안면,도시대기,0.003,0.4,0.019,0.013,26,21,87
충북,증평읍,도시대기,0.002,0.4,0.016,0.016,27,19,69
충북,보은읍,도시대기,0.002,0.6,0.002,0.016,31,27,92
충북,옥천읍,도시대기,0.002,0.7,0.002,0.029,33,23,79
충남,백석동,도시대기,0.003,0.4,,0.023,29,13,
충남,성성동,도로변대기,,0.5,,0.033,27,17,
충남,성거읍,도시대기,0.004,0.6,0.002,0.027,25,15,45
충남,신방동,도시대기,0.003,0.3,0.004,0.022,22,12,43
충남,사곡면,교외대기,0.001,0.2,0.006,0.003,17,10,37
충남,공주,도시대기,0.003,0.4,,0.012,18,14,
충남,탄천면,도시대기,0.003,0.4,,0.012,18,13,
충남,부여읍,도시대기,,0.5,0.004,0.011,13,6,37
충남,독곶리,도시대기,0.004,0.3,0.03,0.007,17,3,50
충남,동문동,도시대기,0.004,0.6,0.004,0.031,24,8,51
충남,대산리,도시대기,0.003,0.4,0.004,0.024,15,6,40
충남,성연면,도시대기,0.003,0.4,0.006,0.016,19,12,33
충남,송산면,도시대기,0.003,0.4,0.011,0.011,14,8,42
충남,당진시청사,도시대기,,,,,,13,
충남,모종동,도시대기,0.003,0.4,0.004,0.022,29,10,47
충남,배방읍,도시대기,0.003,0.3,0.004,0.022,17,12,43
충남,도고면,도시대기,0.003,0.3,0.004,0.01,24,9,40
충남,둔포면,도시대기,0.004,0.4,0.004,0.022,34,18,54
충남,인주면,도시대기,0.003,0.4,0.003,0.024,21,15,40
충남,장재리,도로변대기,0.004,0.5,0.003,0.037,64,27,61
충남,논산,도시대기,0.003,0.4,0.003,0.014,17,8,32
충남,연무읍,도시대기,0.003,0.8,0.005,0.013,41,26,47
충남,서천읍,도시대기,0.002,0.5,0.005,0.016,19,15,43
충남,서면,도시대기,0.002,0.4,0.015,0.01,19,8,25
충남,장항읍,도시대기,0.002,0.6,0.007,0.014,17,15,40
충남,성동면,도시대기,0.003,0.4,0.006,0.012,22,14,51
충남,파도리,교외대기,0.001,0.2,0.022,0.005,35,22,61
충남,이원면,도시대기,0.003,0.4,0.022,0.008,46,35,40
충남,태안읍,도시대기,0.004,0.7,0.003,0.034,17,8,56
충남,격렬비열도,국가배경농도,,,,,,9,27
충남,원북면,도시대기,0.003,0.3,0.005,0.015,13,7,30
충남,예산군,도시대기,0.003,0.2,0.018,0.013,19,11,30
충남,삽교읍,도시대기,0.001,0.4,0.004,0.012,26,12,50
충남,대천2동,도시대기,0.004,0.2,0.015,0.011,12,5,27
충남,주교면,도시대기,,0.6,0.003,0.016,27,8,33
충남,외연도,국가배경농도,0.004,0.3,0.017,0.003,18,7,33
충남,홍성읍,도시대기,0.003,0.6,0.004,0.022,20,14,43
충남,내포,도시대기,0.002,0.2,0.01,0.014,15,6,25
충남,금산읍,도시대기,0.003,0.5,0.003,0.014,22,15,47
충남,청양읍,도시대기,0.003,0.2,0.003,0.008,16,7,27
충남,정산면,도시대기,0.003,0.4,0.004,0.009,18,14,37
충남,엄사면,도시대기,0.002,0.5,0.003,0.014,19,10,33
충남,평택당진항,항만,0.002,0.4,0.002,0.03,24,20,54
충남,대산항,항만,0.001,0.4,0.005,0.02,47,13,47
충남,장항항,항만,0.001,0.3,0.006,0.016,22,10,27
충남,서천읍,도시대기,0.002,0.5,0.008,0.014,29,16,51
충남,서면,도시대기,0.004,0.3,0.043,0.009,55,22,61
충남,장항읍,도시대기,0.003,0.6,0.028,0.013,28,15,47
충남,백석동,도시대기,0.003,0.4,0.028,0.023,32,17,54
충남,성성동,도로변대기,0.003,0.3,0.028,0.02,30,17,59
충남,성거읍,도시대기,0.003,0.4,0.037,0.014,29,17,56
충남,신방동,도시대기,0.003,0.3,0.022,0.015,35,14,52
충남,사곡면,교외대기,0.001,0.2,0.018,0.004,30,23,64
충남,공주,도시대기,0.003,0.4,0.003,0.012,20,17,59
충남,탄천면,도시대기,0.003,0.3,0.008,0.007,25,20,61
충남,부여읍,도시대기,,0.6,0.003,0.011,24,18,61
충남,독곶리,도시대기,0.004,0.5,0.047,0.007,53,22,64
충남,동문동,도시대기,0.004,0.4,0.024,0.019,27,14,54
충남,대산리,도시대기,0.003,0.4,0.033,0.015,34,15,54
충남,성연면,도시대기,0.003,0.4,0.016,0.014,28,14,54
충남,송산면,도시대기,0.011,0.4,0.032,0.009,36,19,59
충남,당진시청사,도시대기,,,,,,9,
충남,모종동,도시대기,0.003,0.4,0.015,0.024,40,17,60
충남,배방읍,도시대기,0.003,0.4,0.01,0.031,33,17,59
충남,도고면,도시대기,0.003,0.4,0.012,0.018,34,16,59
충남,둔포면,도시대기,0.004,0.3,0.034,0.012,31,21,56
충남,인주면,도시대기,0.003,0.4,0.034,0.01,38,19,59
충남,장재리,도로변대기,0.003,0.4,0.017,0.027,36,17,59
충남,논산,도시대기,0.003,0.4,0.004,0.017,27,14,54
충남,연무읍,도시대기,0.003,0.8,0.008,0.014,34,23,54
충남,성동면,도시대기,0.002,0.4,0.007,0.015,33,24,69
충남,파도리,교외대기,0.002,0.4,0.054,0.004,90,49,105
충남,이원면,도시대기,0.004,0.4,0.042,0.007,68,37,72
충남,태안읍,도시대기,0.003,0.7,0.008,0.035,32,23,61
충남,격렬비열도,국가배경농도,,,,,,36,101
충남,원북면,도시대기,0.003,0.5,0.008,0.012,35,21,74
충남,예산군,도시대기,0.003,0.3,0.038,0.013,24,14,57
충남,삽교읍,도시대기,0.001,0.5,0.009,0.027,34,25,72
충남,대천2동,도시대기,0.005,0.3,0.045,0.011,31,17,63
충남,주교면,도시대기,,0.5,0.036,0.015,41,18,55
충남,외연도,국가배경농도,0.005,0.4,0.03,0.007,62,33,77
충남,홍성읍,도시대기,0.003,0.4,0.014,0.022,22,16,66
충남,내포,도시대기,0.002,0.3,0.029,0.015,24,11,50
충남,금산읍,도시대기,0.003,0.5,0.004,0.013,27,19,72
충남,청양읍,도시대기,0.003,0.3,0.012,0.019,25,16,54
충남,정산면,도시대기,0.003,0.5,0.004,0.007,25,16,50
충남,엄사면,도시대기,0.002,0.5,0.006,0.018,18,10,35
충남,평택당진항,항만,0.001,0.2,0.033,0.009,27,17,64
충남,대산항,항만,0.002,0.4,0.03,0.019,75,41,74
충남,장항항,항만,0.001,0.3,0.029,0.012,31,15,48
충남,백석동,도시대기,0.003,0.9,0.004,0.032,74,42,143
충남,성성동,도로변대기,0.004,1,0.004,0.051,98,50,204
충남,성거읍,도시대기,0.003,0.7,0.002,0.028,56,26,109
충남,신방동,도시대기,0.004,0.7,0.003,0.021,69,35,112
충남,사곡면,교외대기,0.001,0.4,0.007,0.006,34,30,112
충남,공주,도시대기,0.003,0.5,0.004,0.016,41,39,120
충남,탄천면,도시대기,0.004,0.6,0.004,0.018,52,44,147
충남,부여읍,도시대기,0.002,0.6,0.004,0.018,25,14,82
충남,독곶리,도시대기,0.004,0.4,0.033,0.016,46,13,68
충남,동문동,도시대기,0.004,0.9,0.004,0.035,61,18,96
충남,대산리,도시대기,0.003,0.6,0.006,0.034,40,15,66
충남,성연면,도시대기,0.003,0.6,0.005,0.021,47,17,68
충남,송산면,도시대기,0.005,0.6,0.01,0.016,49,23,97
충남,당진시청사,도시대기,,,,,,17,
충남,모종동,도시대기,0.004,0.7,,0.028,73,35,
충남,배방읍,도시대기,0.004,0.7,0.004,0.04,63,35,105
충남,도고면,도시대기,0.003,0.5,0.004,0.014,47,28,101
충남,둔포면,도시대기,0.004,0.6,0.004,0.027,68,41,128
충남,인주면,도시대기,0.004,0.7,0.004,0.039,54,31,185
충남,장재리,도로변대기,0.004,0.8,0.003,0.038,111,43,189
충남,논산,도시대기,0.003,0.6,0.004,0.018,46,23,94
충남,연무읍,도시대기,0.003,1,0.003,0.018,61,29,94
충남,성동면,도시대기,0.002,0.7,0.004,0.019,42,19,100
충남,서천읍,도시대기,0.002,0.7,0.003,0.017,42,24,87
충남,서면,도시대기,0.003,0.5,0.015,0.016,64,20,107
충남,장항읍,도시대기,0.002,0.8,0.005,0.019,43,21,79
충남,파도리,교외대기,0.001,0.5,0.024,0.006,91,57,100
충남,이원면,도시대기,0.003,0.4,0.028,0.007,41,14,72
충남,태안읍,도시대기,0.004,0.9,0.004,0.034,49,27,87
충남,격렬비열도,국가배경농도,,,,,,52,112
충남,원북면,도시대기,0.003,0.6,0.002,0.019,40,16,60
충남,예산군,도시대기,0.003,0.6,0.009,0.029,48,33,97
충남,삽교읍,도시대기,0.001,0.7,0.004,0.014,92,67,151
충남,대천2동,도시대기,0.004,0.5,0.008,0.022,38,25,97
충남,주교면,도시대기,0.002,0.7,0.003,0.02,47,16,78
충남,외연도,국가배경농도,0.005,0.5,0.007,0.009,93,39,95
충남,홍성읍,도시대기,0.003,0.6,0.004,0.024,44,27,90
충남,내포,도시대기,0.002,0.5,0.01,0.023,45,15,80
충남,금산읍,도시대기,0.003,0.6,0.004,0.018,65,42,128
충남,청양읍,도시대기,0.003,0.5,0.004,0.012,37,28,101
충남,정산면,도시대기,0.003,0.7,0.006,0.012,40,17,72
