statNm,statId,chgerId,chgerType,addr,region_2depth_name,region_3depth_name,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,output,method,zcode,zscode,kind,kindDetail,parkingFree
동래래미안아이파크 1단지,BNOG3201,1,4,부산광역시 동래구 금정마을로 147,동래구,온천동,35.213019,129.0695122,24시간 이용가능,BN,블루네트웍스,블루네트웍스,1833-9131,0,2.02E+13,,,,50,단독,26,26260,H0,H001,Y
동래 래미안아이파크 2단지,BNOG3202,1,4,부산광역시 동래구 금정마을로 150,동래구,온천동,35.21149007,129.0690096,24시간 이용가능,BN,블루네트웍스,블루네트웍스,1833-9131,0,2.02E+13,,,,50,단독,26,26260,H0,H001,Y
동래 래미안아이파크 2단지,BNOG3202,2,4,부산광역시 동래구 금정마을로 150,동래구,온천동,35.21149007,129.0690096,24시간 이용가능,BN,블루네트웍스,블루네트웍스,1833-9131,0,2.02E+13,,,,50,단독,26,26260,H0,H001,Y
동래 래미안아이파크 3단지,BNOG3203,1,4,부산광역시 동래구 충렬대로107번길 65,동래구,온천동,35.21085883,129.071934,24시간 이용가능,BN,블루네트웍스,블루네트웍스,1833-9131,0,2.02E+13,,,,50,단독,26,26260,H0,H001,Y
동래 래미안아이파크 3단지,BNOG3203,2,4,부산광역시 동래구 충렬대로107번길 65,동래구,온천동,35.21085883,129.071934,24시간 이용가능,BN,블루네트웍스,블루네트웍스,1833-9131,0,2.02E+13,,,,50,단독,26,26260,H0,H001,Y
인파크에비뉴 서면,CV000996,1,6,부산광역시 부산진구 서전로9번길 20,부산진구,부전동,35.158517,129.061012,24시간 이용가능,CV,대영채비,대영채비(주),1522-2573,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26230,G0,G004,Y
금샘도서관,CV001074,1,6,부산광역시 금정구 기찰로 94,금정구,부곡동,35.238991,129.094096,09:00~22:00,CV,대영채비,대영채비(주),1522-2573,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26410,I0,I005,Y
구포시장 공영주차장,CV001107,1,6,부산광역시 북구 낙동대로1780번길 46,북구,구포동,35.207467,129.004355,24시간 이용가능,CV,대영채비,대영채비(주),1522-2573,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26320,B0,B001,N
기술보증기금,CV001116,1,4,부산광역시 남구 문현금융로 33,남구,문현동,35.146168,129.064072,"평일 09:00~18:00, 주말 및 공휴일 미운영",CV,대영채비,대영채비(주),1522-2573,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26290,H0,H003,Y
기술보증기금,CV001116,2,4,부산광역시 남구 문현금융로 33,남구,문현동,35.146168,129.064072,"평일 09:00~18:00, 주말 및 공휴일 미운영",CV,대영채비,대영채비(주),1522-2573,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26290,H0,H003,Y
국회부산도서관 전기차 충전소,CV001159,1,6,부산광역시 강서구 명지국제1로 161,강서구,명지동,35.103505,128.904392,09:00~18:00,CV,대영채비,대영채비,1522-2573,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26440,I0,I005,Y
동서대학교 급속충전소,EP200480,1,6,부산광역시 사상구 주례로 47,사상구,주례동,35.1461199,129.0070171,24시간 이용가능,EP,이카플러그,(주)삼성이브이씨,1833-4577,1,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26530,J0,J001,Y
경남정보대 센텀산학캠퍼스 급속충전소,EP200482,1,6,부산광역시 해운대구 센텀중앙로 55,해운대구,우동,35.1730462,129.127655,24시간 이용가능,EP,이카플러그,(주)삼성이브이씨,1833-4577,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26350,J0,J001,Y
경남정보대 미래관 급속충전소,EP200483,1,6,부산광역시 사상구 주례로 45,사상구,주례동,35.1464509,129.0090706,24시간 이용가능,EP,이카플러그,(주)삼성이브이씨,1833-4577,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26530,J0,J001,Y
금정산LH뉴웰시티 급속충전소,EP210138,1,5,부산광역시 북구 상학로 35,북구,만덕동,35.2151943,129.035484,24시간 이용가능,EP,이카플러그,이카플러그,이카플러그,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,동시,26,26320,H0,H001,Y
정관동일스위트3차아파트,GN000986,7,5,부산광역시 기장군 정관읍 모전1길 9,기장군,정관읍,35.3372491,129.1646067,24시간 이용가능,GN,지커넥트,지커넥트,1544-4279,1,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26710,H0,H001,Y
부산달맞이주유소,GS000075,1,4,부산광역시 해운대구 달맞이길 57,해운대구,중동,35.161533,129.171133,24시간 이용가능,GS,GS칼텍스,GS칼텍스,1544-5151,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,200,단독,26,26350,E0,E007,Y
부산달맞이주유소,GS000075,2,4,부산광역시 해운대구 달맞이길 57,해운대구,중동,35.161533,129.171133,24시간 이용가능,GS,GS칼텍스,GS칼텍스,1544-5151,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,200,단독,26,26350,E0,E007,Y
부산가톨릭대학교,HE000843,1,6,부산광역시 금정구 오륜대로 57,금정구,부곡동,35.246261,129.099211,24시간 이용가능,HE,한국전기차충전서비스,한국전기차충전서비스,1522-1782,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,50,단독,26,26410,J0,J001,Y
기아자동차 부산서비스센터,HE001035,2,4,부산광역시 사상구 가야대로 141,사상구,감전동,35.150442,128.988399,08:30 ~ 17:30,HE,한국전기차충전서비스,한국전기차충전서비스,1522-1782,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26530,F0,F001,Y
롯데마트 사하점,HE001095,1,5,부산광역시 사하구 을숙도대로 610,사하구,장림동,35.084944,128.971287,10:00~23:00,HE,한국전기차충전서비스,한국전기차충전서비스,1522-1782,0,2.02E+13,2.02E+13,2.02E+13,2.02E+13,100,동시,26,26380,E0,E001,Y
